id;key;offset
1;Universal;0
2;Africa/Abidjan;0
3;Africa/Accra;0
4;Africa/Addis_Ababa;10800
5;Africa/Algiers;3600
6;Africa/Asmara;10800
7;Africa/Asmera;10800
8;Africa/Bamako;0
9;Africa/Bangui;3600
10;Africa/Banjul;0
11;Africa/Bissau;0
12;Africa/Blantyre;7200
13;Africa/Brazzaville;3600
14;Africa/Bujumbura;7200
15;Africa/Cairo;7200
16;Africa/Casablanca;0
17;Africa/Ceuta;3600
18;Africa/Conakry;0
19;Africa/Dakar;0
20;Africa/Dar_es_Salaam;10800
21;Africa/Djibouti;10800
22;Africa/Douala;3600
23;Africa/El_Aaiun;0
24;Africa/Freetown;0
25;Africa/Gaborone;7200
26;Africa/Harare;7200
27;Africa/Johannesburg;7200
28;Africa/Juba;10800
29;Africa/Kampala;10800
30;Africa/Khartoum;10800
31;Africa/Kigali;7200
32;Africa/Kinshasa;3600
33;Africa/Lagos;3600
34;Africa/Libreville;3600
35;Africa/Lome;0
36;Africa/Luanda;3600
37;Africa/Lubumbashi;7200
38;Africa/Lusaka;7200
39;Africa/Malabo;3600
40;Africa/Maputo;7200
41;Africa/Maseru;7200
42;Africa/Mbabane;7200
43;Africa/Mogadishu;10800
44;Africa/Monrovia;0
45;Africa/Nairobi;10800
46;Africa/Ndjamena;3600
47;Africa/Niamey;3600
48;Africa/Nouakchott;0
49;Africa/Ouagadougou;0
50;Africa/Porto-Novo;3600
51;Africa/Sao_Tome;0
52;Africa/Timbuktu;0
53;Africa/Tripoli;7200
54;Africa/Tunis;3600
55;Africa/Windhoek;3600
56;America/Adak;-36000
57;America/Anchorage;-32400
58;America/Anguilla;-14400
59;America/Antigua;-14400
60;America/Araguaina;-10800
61;America/Argentina/Buenos_Aires;-10800
62;America/Argentina/Catamarca;-10800
63;America/Argentina/ComodRivadavia;-10800
64;America/Argentina/Cordoba;-10800
65;America/Argentina/Jujuy;-10800
66;America/Argentina/La_Rioja;-10800
67;America/Argentina/Mendoza;-10800
68;America/Argentina/Rio_Gallegos;-10800
69;America/Argentina/Salta;-10800
70;America/Argentina/San_Juan;-10800
71;America/Argentina/San_Luis;-10800
72;America/Argentina/Tucuman;-10800
73;America/Argentina/Ushuaia;-10800
74;America/Aruba;-14400
75;America/Asuncion;-10800
76;America/Atikokan;-18000
77;America/Atka;-36000
78;America/Bahia;-10800
79;America/Bahia_Banderas;-21600
80;America/Barbados;-14400
81;America/Belem;-10800
82;America/Belize;-21600
83;America/Blanc-Sablon;-14400
84;America/Boa_Vista;-14400
85;America/Bogota;-18000
86;America/Boise;-25200
87;America/Buenos_Aires;-10800
88;America/Cambridge_Bay;-25200
89;America/Campo_Grande;-14400
90;America/Cancun;-18000
91;America/Caracas;-16200
92;America/Catamarca;-10800
93;America/Cayenne;-10800
94;America/Cayman;-18000
95;America/Chicago;-21600
96;America/Chihuahua;-25200
97;America/Coral_Harbour;-18000
98;America/Cordoba;-10800
99;America/Costa_Rica;-21600
100;America/Creston;-25200
101;America/Cuiaba;-14400
102;America/Curacao;-14400
103;America/Danmarkshavn;0
104;America/Dawson;-28800
105;America/Dawson_Creek;-25200
106;America/Denver;-25200
107;America/Detroit;-18000
108;America/Dominica;-14400
109;America/Edmonton;-25200
